в Москве; в Москву|in Moscow; to Moscow
Он не в Москве|He is not in Moscow
на работе; на стол|at work; onto the table
Я говорю|I speak/am speaking/say
Он говорит|He speaks/is speaking/says
Я говорю, что он на работе|I say that he is at work
чай с лимоном; со стола|tea with lemon; from (off) the table
Это наш клуб; Это верно|This is our club; That’s true
Быть или не быть?; Есть кофе?|To be or not to be?; Is there any coffee?
Она в Москве, а он в Петербурге|She is in Moscow, and (but) he is in St Petersburg
весь стол; вся Москва|the whole table; all of Moscow
Они в Москве|They are in Moscow
Она со мной|She is with me
Как он говорит? как я, как ты|How does he speak? like me, like you
Мы были в Петербурге|We were in St Petersburg
к дому; ко мне|towards the house; towards me
у окна; у Ивана; У Ивана есть дом|by the window; at Ivan’s house; Ivan has a house
Вы говорите|You are speaking
этот стол, эта книга, эти люди|this table, this book, these people
платить за водку за домом|to pay for the vodka; behind the house
тот дом; в то время; то, что …|that house; at that time; the fact that…
Но это не правда|But that’s not true
Ты говоришь|You are speaking
по улице; по городу; по плану|along the street; around the town; according to
из дома|out of the house
Он говорит о Москве|He is speaking about Moscow
Он говорит о своей работе|He is talking about his own work
так быстро|so quickly
один стол|one table
Вот дом|There is the house
девушка, которую он любит|the girl whom he loves
наш дом|our house
У Ивана только один брат|Ivan has only one brother
Он ещё не знает|He doesn’t know yet
письмо от Ивана|a letter from Ivan
такой большой сад|such a large garden
Я могу; Он не может говорить|I can; He can’t speak; Я смогу приехать завтра; Он не сможет ответить на ваш вопрос|I shall be able to come tomorrow; He won’t be able to answer your question
Я могу говорить|I can speak
Я сказал, что он в Москве; Скажите, пожалуйста|I said that he is in Moscow; Tell me, please
письмо для Ивана|a letter for Ivan
Он уже знает об этом|He already knows about this
Я знаю её|I know her
Да, это правда; он да я|Yes, that’s true; he and I
Какой у Ивана дом?|What kind of house has Ivan got?
Когда вы были в Москве?|When were you in Moscow?
в другом доме|in a different (another) house
в первом доме|in the first house
чтобы говорить по-русски|in order to speak Russian
Это его книга?|Is this his book?
в этом году|this year
Я знаю, кто он|I know who he is
Это моё дело|This is my business
Нет работы|There is no work
Вот её дом|There’s her house
очень большой город|a very large town
большие города|large towns
С Новым годом!|Happy New Year
Он стал говорить; Она стала инженером|He began to speak; She became an engineer
Он говорит о своей работе|He is speaking about his work
Он сейчас в Москве|He’s in Moscow at the moment
в то время; во время войны; много времени|at that time; during the war; a lot of time
Она хороший человек|She is a good person
Я иду по улице; Куда ты идёшь?|I am walking along the street; Where are you going?; Я пошёл домой|I went home
Если она хочет, я тоже хочу|If she wants (to), I want (to) too
два часа; две машины|two o’clock; two cars
Вот мой дом|There is my house
Наша жизнь хорошая|Our life is good
До свидания!|Until we meet again=Goodbye
Он знает, где мой дом|He knows where my house is
каждый день|each (every) day
самый большой дом|the biggest house
Я хочу говорить по-русски; ты хочешь; Что вы хотите?|I want to speak Russian; you want; What do you want?
Я здесь уже два года|I have been here for two years
Надо говорить по-русски|One must speak Russian
Русские - хорошие люди|Russians are good people
Теперь надо идти|Now it is necessary to go (Now we must leave)
из дома; дома|from the house; houses
один раз; два раза; шесть раз|once; twice; six times
